sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121146.534472466,0.878051884,-0.412531194,-1.491952032,,,,,,,,
,,1781121146.551029682,0.915261856,-0.224180204,-1.581666288,,,,,,,,
,,1781121146.567678213,0.862017042,0.193887861,-1.684065966,,,,,,,,
,,1781121146.584340811,0.688065284,0.748808096,-1.764350626,,,,,,,,
,,1781121146.601034403,0.421579921,1.403710820,-1.796378722,,,,,,,,
,,1781121146.616995096,0.237833696,1.739171372,-1.638728449,,,,,,,,
,,1781121146.632998466,0.222857144,1.464112917,-1.473006505,,,,,,,,
,,1781121146.648518562,0.487449802,0.733693094,-1.708773771,,,,,,,,
,,1781121146.667906761,0.611692666,0.570048509,-1.903603741,,,,,,,,
,,1781121146.684356928,0.631637559,0.699978120,-1.956981764,,,,,,,,
,,1781121146.701069832,0.520060753,0.919772249,-1.915418611,,,,,,,,
,,1781121146.717890501,0.422796333,1.213186727,-1.789264365,,,,,,,,
,,1781121146.734376431,0.379838380,1.450520118,-1.515381841,,,,,,,,
,,1781121146.751051188,0.459473024,1.469173154,-1.318809907,,,,,,,,
,,1781121146.767974854,0.599508912,1.109015905,-1.416284697,,,,,,,,
,,1781121146.784590483,0.794578801,0.684753955,-1.454880979,,,,,,,,
,,1781121146.801102161,0.901442977,0.461681485,-1.443951596,,,,,,,,
,,1781121146.817657709,0.998717320,0.284539391,-1.319961977,,,,,,,,
,,1781121146.834442616,1.047071048,0.157489838,-1.280591555,,,,,,,,
,,1781121146.850132942,1.024375782,0.066243527,-1.255246925,,,,,,,,
,,1781121146.866084099,1.028437875,0.003614343,-1.348819722,,,,,,,,
,,1781121146.884307384,1.041485298,0.043472924,-1.472134037,,,,,,,,
,,1781121146.901123285,0.983820169,0.317042214,-1.618343625,,,,,,,,
,,1781121146.917872906,0.779879207,0.681295269,-1.693674007,,,,,,,,
,,1781121146.934334993,0.541169935,1.095079610,-1.614940279,,,,,,,,
,,1781121146.951014996,0.296154851,1.418024217,-1.566980999,,,,,,,,
,,1781121146.967770100,0.170652310,1.767476218,-1.402349786,,,,,,,,
,,1781121146.984301090,0.152299705,1.635862377,-1.451208125,,,,,,,,
,,1781121147.001212597,0.156304620,1.560590556,-1.542185126,,,,,,,,
,,1781121147.017728567,0.092471339,1.613837441,-1.537416536,,,,,,,,
,,1781121147.034456730,0.018650107,1.854015540,-1.393017446,,,,,,,,
,,1781121147.051215649,-0.069213993,2.145036227,-1.227790708,,,,,,,,
,,1781121147.067760468,-0.023103677,2.267896384,-1.153733927,,,,,,,,
,,1781121147.084400892,0.257544480,1.763048437,-1.264616339,,,,,,,,
,,1781121147.101193905,0.452000906,1.119632107,-1.336084364,,,,,,,,
