sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121328.207362890,-0.036490486,0.057387249,-0.171093124,,,,,,,,
,,1781121328.208997965,-0.039288682,0.058355100,-0.165438349,,,,,,,,
,,1781121328.210751295,-0.040122849,0.061028129,-0.167711436,,,,,,,,
,,1781121328.212370157,-0.042371599,0.067171087,-0.166267196,,,,,,,,
,,1781121328.214038849,-0.042425883,0.063594690,-0.163435016,,,,,,,,
,,1781121328.215735197,-0.034763681,0.061733232,-0.170301459,,,,,,,,
,,1781121328.217377424,-0.038336164,0.057552617,-0.167061450,,,,,,,,
,,1781121328.219007254,-0.030844727,0.055481871,-0.169236561,,,,,,,,
,,1781121328.220759630,-0.032334696,0.056982383,-0.168141683,,,,,,,,
,,1781121328.222374201,-0.029443941,0.051088135,-0.168517254,,,,,,,,
,,1781121328.223998070,-0.034468783,0.047606756,-0.170232875,,,,,,,,
,,1781121328.225704670,-0.036080268,0.052710985,-0.171610277,,,,,,,,
,,1781121328.227377176,-0.035003283,0.058718209,-0.170707466,,,,,,,,
,,1781121328.228987217,-0.042086321,0.059392880,-0.168228245,,,,,,,,
,,1781121328.230713367,-0.043118767,0.060160367,-0.162478277,,,,,,,,
,,1781121328.232329845,-0.036673291,0.054082385,-0.168477035,,,,,,,,
,,1781121328.234068871,-0.036234242,0.051721316,-0.171598170,,,,,,,,
,,1781121328.235742092,-0.036906157,0.050161479,-0.170382300,,,,,,,,
,,1781121328.237370253,-0.036054730,0.049796963,-0.168563200,,,,,,,,
,,1781121328.239045620,-0.035003453,0.043383563,-0.173021157,,,,,,,,
,,1781121328.240680933,-0.038347403,0.042681717,-0.176115998,,,,,,,,
,,1781121328.242370367,-0.044658384,0.047314773,-0.167998176,,,,,,,,
,,1781121328.244038105,-0.047037794,0.033833354,-0.176380860,,,,,,,,
,,1781121328.245711565,-0.050071989,0.028349717,-0.175897912,,,,,,,,
,,1781121328.247428656,-0.058753519,0.040518713,-0.172471030,,,,,,,,
,,1781121328.249027967,-0.039546960,0.041808766,-0.161944719,,,,,,,,
,,1781121328.250746250,-0.029564400,0.090932380,-0.203706022,,,,,,,,
,,1781121328.252376318,-0.001746620,0.076220232,-0.154549992,,,,,,,,
,,1781121328.254049301,-0.041793802,0.022600763,-0.177602035,,,,,,,,
,,1781121328.255703688,-0.021932664,0.047560799,-0.177208228,,,,,,,,
,,1781121328.257365227,-0.038126328,0.046468028,-0.180640175,,,,,,,,
,,1781121328.259070635,-0.041069540,0.046355688,-0.175480027,,,,,,,,
,,1781121328.260744572,-0.039911266,0.049712012,-0.170648564,,,,,,,,
,,1781121328.262366056,-0.042426072,0.051463488,-0.171336735,,,,,,,,
,,1781121328.264051914,-0.042537741,0.048930887,-0.169411646,,,,,,,,
,,1781121328.265721083,-0.034475779,0.028878701,-0.182104744,,,,,,,,
,,1781121328.267439604,-0.029466321,0.062301582,-0.169973414,,,,,,,,
,,1781121328.269042730,-0.029590635,0.048052568,-0.174199583,,,,,,,,
,,1781121328.270692825,-0.025826217,0.049867829,-0.176714939,,,,,,,,
,,1781121328.272398472,-0.021428893,0.049677340,-0.176322564,,,,,,,,
,,1781121328.274023294,-0.029874768,0.051100810,-0.172176904,,,,,,,,
,,1781121328.275768042,-0.030742310,0.052731042,-0.168953959,,,,,,,,
,,1781121328.277369976,-0.034138450,0.057114080,-0.172336189,,,,,,,,
,,1781121328.279068232,-0.029393589,0.053105196,-0.173035666,,,,,,,,
,,1781121328.280705214,-0.038425339,0.055845551,-0.172886689,,,,,,,,
,,1781121328.282368898,-0.031886709,0.052345790,-0.175459299,,,,,,,,
,,1781121328.283986807,-0.029532285,0.051829563,-0.176652917,,,,,,,,
,,1781121328.285710096,-0.031160703,0.050141236,-0.176285800,,,,,,,,
,,1781121328.287346840,-0.028106226,0.047750130,-0.179406048,,,,,,,,
,,1781121328.289084196,-0.026906905,0.050340347,-0.176950306,,,,,,,,
,,1781121328.290708780,-0.027164706,0.045826749,-0.177552377,,,,,,,,
,,1781121328.292371988,-0.030222257,0.052510598,-0.172616025,,,,,,,,
,,1781121328.294058323,-0.033354911,0.053949209,-0.174251282,,,,,,,,
,,1781121328.295708179,-0.033518866,0.055649820,-0.173988356,,,,,,,,
,,1781121328.297435999,-0.033447610,0.053797803,-0.170729582,,,,,,,,
,,1781121328.299017906,-0.030227886,0.051807116,-0.174763757,,,,,,,,
,,1781121328.300719261,-0.027930128,0.050079929,-0.173896856,,,,,,,,
,,1781121328.302370548,-0.027930128,0.050079929,-0.173896856,,,,,,,,
,,1781121328.304064274,-0.024634945,0.047557893,-0.173445819,,,,,,,,
,,1781121328.305703163,-0.024691907,0.043481206,-0.176597306,,,,,,,,
,,1781121328.307314396,-0.026236362,0.046057273,-0.174403658,,,,,,,,
,,1781121328.309064627,-0.028330431,0.051216283,-0.172305177,,,,,,,,
,,1781121328.310745478,-0.032308985,0.050485145,-0.171839708,,,,,,,,
,,1781121328.312366724,-0.031534994,0.054818551,-0.171418568,,,,,,,,
,,1781121328.314049482,-0.031214336,0.052798886,-0.171790418,,,,,,,,
,,1781121328.315668344,-0.028032347,0.051783746,-0.174544355,,,,,,,,
,,1781121328.317369461,-0.029538980,0.051511514,-0.170499803,,,,,,,,
,,1781121328.319059372,-0.023300294,0.049993573,-0.172446947,,,,,,,,
,,1781121328.320704937,-0.021842002,0.048071914,-0.175741158,,,,,,,,
,,1781121328.322396517,-0.020930774,0.046998374,-0.176397007,,,,,,,,
,,1781121328.324027777,-0.024480058,0.051942012,-0.170210716,,,,,,,,
,,1781121328.325714588,-0.023669540,0.051160567,-0.170888301,,,,,,,,
,,1781121328.327392578,-0.029272524,0.056560109,-0.170802035,,,,,,,,
,,1781121328.329073429,-0.030815549,0.054540883,-0.167069574,,,,,,,,
,,1781121328.330744743,-0.031738279,0.052256298,-0.163467426,,,,,,,,
,,1781121328.332361460,-0.028768094,0.052476143,-0.168181868,,,,,,,,
,,1781121328.334069490,-0.024265059,0.048747300,-0.175593289,,,,,,,,
,,1781121328.335707188,-0.023517507,0.042460363,-0.175975576,,,,,,,,
,,1781121328.337394714,-0.021137328,0.047518971,-0.177185800,,,,,,,,
,,1781121328.339067698,-0.020006272,0.046895606,-0.171934459,,,,,,,,
,,1781121328.340707302,-0.026927297,0.045570249,-0.170308864,,,,,,,,
,,1781121328.342413425,-0.027709690,0.051348402,-0.168971614,,,,,,,,
,,1781121328.344051600,-0.033990308,0.050723753,-0.169851289,,,,,,,,
,,1781121328.345702887,-0.033880332,0.050611457,-0.169842544,,,,,,,,
,,1781121328.347376823,-0.032239990,0.050719514,-0.170564190,,,,,,,,
,,1781121328.349061251,-0.030416489,0.048429729,-0.170488682,,,,,,,,
,,1781121328.350750685,-0.025871425,0.044519990,-0.174481402,,,,,,,,
,,1781121328.352378607,-0.024955479,0.041527714,-0.174181292,,,,,,,,
,,1781121328.354024887,-0.025021240,0.042620082,-0.172892170,,,,,,,,
,,1781121328.355769396,-0.024791803,0.042470900,-0.172936047,,,,,,,,
,,1781121328.357331514,-0.031230680,0.044013676,-0.174534166,,,,,,,,
,,1781121328.359053612,-0.030906532,0.043682718,-0.171097793,,,,,,,,
,,1781121328.360700607,-0.030073360,0.046791022,-0.168646812,,,,,,,,
,,1781121328.362367630,-0.030195296,0.046955629,-0.172133592,,,,,,,,
,,1781121328.364062786,-0.036279400,0.049845059,-0.166601288,,,,,,,,
,,1781121328.365713120,-0.033060504,0.047875861,-0.170593328,,,,,,,,
,,1781121328.367371559,-0.028403813,0.047823947,-0.171429793,,,,,,,,
,,1781121328.369046211,-0.022212350,0.041231908,-0.174240596,,,,,,,,
,,1781121328.370704889,-0.026138777,0.042269613,-0.173441039,,,,,,,,
,,1781121328.372369528,-0.023708215,0.042609170,-0.173306212,,,,,,,,
,,1781121328.373995066,-0.029927911,0.047749990,-0.168568194,,,,,,,,
,,1781121328.375703096,-0.030732369,0.048491528,-0.168062943,,,,,,,,
,,1781121328.377375603,-0.034599065,0.050555005,-0.166032440,,,,,,,,
,,1781121328.379064322,-0.034712921,0.048979585,-0.169862263,,,,,,,,
,,1781121328.380712509,-0.033276925,0.051213803,-0.171203825,,,,,,,,
,,1781121328.382363081,-0.028410343,0.045864829,-0.169518416,,,,,,,,
,,1781121328.384063005,-0.026175828,0.044853413,-0.173094902,,,,,,,,
,,1781121328.385704994,-0.022992464,0.039557653,-0.174125381,,,,,,,,
,,1781121328.387367010,-0.023742194,0.045392660,-0.172825634,,,,,,,,
,,1781121328.389067888,-0.020782319,0.040615299,-0.178346341,,,,,,,,
,,1781121328.390702009,-0.025668932,0.044852604,-0.175776564,,,,,,,,
,,1781121328.392367363,-0.031127731,0.050090310,-0.172558667,,,,,,,,
,,1781121328.394032478,-0.029507001,0.047965989,-0.172306971,,,,,,,,
,,1781121328.395764112,-0.029708902,0.049121434,-0.174612788,,,,,,,,
,,1781121328.397369862,-0.032182244,0.050538910,-0.172055984,,,,,,,,
,,1781121328.398996353,-0.028300666,0.047175992,-0.172005755,,,,,,,,
,,1781121328.400746107,-0.022091848,0.041794764,-0.176632134,,,,,,,,
,,1781121328.402372599,-0.025940830,0.046105117,-0.172003055,,,,,,,,
,,1781121328.404051781,-0.024465804,0.042843131,-0.173243354,,,,,,,,
,,1781121328.405706406,-0.024920209,0.043225853,-0.174301001,,,,,,,,
,,1781121328.407342911,-0.027049922,0.041022369,-0.174846545,,,,,,,,
,,1781121328.408993006,-0.029567124,0.050301318,-0.169945629,,,,,,,,
