sample_index,received_timestamp_sec,source_timestamp_sec,Fx,Fy,Fz,user_number,object_diameter_mm,task_performed,trial_number,sensor_number,finger_name,topic,raw_msg_length
,,1781121314.348426104,0.345936194,-0.378216795,-0.576152602,,,,,,,,
,,1781121314.365070105,0.319579759,-0.404028062,-0.614061779,,,,,,,,
,,1781121314.381628990,0.311170942,-0.385268455,-0.602050245,,,,,,,,
,,1781121314.398469210,0.567260729,-0.214799444,-0.819039814,,,,,,,,
,,1781121314.415134192,0.346081706,-0.375287872,-0.747303726,,,,,,,,
,,1781121314.431600809,0.380370509,-0.373142975,-0.799316967,,,,,,,,
,,1781121314.448285818,0.362769594,-0.403420885,-0.873483585,,,,,,,,
,,1781121314.465066671,0.465456550,-0.343373656,-0.930042125,,,,,,,,
,,1781121314.481640339,0.511020742,-0.337851271,-0.931145026,,,,,,,,
,,1781121314.498420238,0.556550847,-0.330368300,-0.914825484,,,,,,,,
,,1781121314.515148401,0.582998592,-0.297476962,-0.858751861,,,,,,,,
,,1781121314.531754732,0.593920661,-0.254085996,-0.806560876,,,,,,,,
,,1781121314.548262358,0.618376711,-0.182050248,-0.762836523,,,,,,,,
,,1781121314.564930916,0.604925195,-0.147787184,-0.690617276,,,,,,,,
,,1781121314.581831932,0.645573692,-0.125984228,-0.701180510,,,,,,,,
,,1781121314.598281145,0.705168250,-0.075229123,-0.738768309,,,,,,,,
,,1781121314.615125418,0.759641737,-0.002214773,-0.714896433,,,,,,,,
,,1781121314.631768703,0.762208914,0.042578642,-0.658431387,,,,,,,,
,,1781121314.648418665,0.728628994,0.033599898,-0.537288352,,,,,,,,
,,1781121314.665039539,0.678582203,-0.013456653,-0.441403735,,,,,,,,
,,1781121314.681711197,0.670005795,-0.046822437,-0.394789923,,,,,,,,
,,1781121314.698341608,0.706788956,-0.050962703,-0.408793351,,,,,,,,
,,1781121314.715071201,0.744547698,-0.037054784,-0.452925241,,,,,,,,
,,1781121314.731730700,0.755333217,-0.040932375,-0.520130971,,,,,,,,
,,1781121314.748278856,0.758040435,-0.016511885,-0.610132420,,,,,,,,
,,1781121314.765137434,0.711647158,0.005258573,-0.638677638,,,,,,,,
,,1781121314.781613827,0.712073641,-0.002373362,-0.668380686,,,,,,,,
,,1781121314.798345327,0.740118394,0.043904428,-0.659139334,,,,,,,,
,,1781121314.815144539,0.752095540,0.054444766,-0.624796413,,,,,,,,
,,1781121314.831806898,0.765185632,0.069549044,-0.578115673,,,,,,,,
,,1781121314.848407984,0.806035109,0.079962199,-0.557640406,,,,,,,,
,,1781121314.865141153,0.877974143,0.102876290,-0.584130081,,,,,,,,
,,1781121314.881661654,0.919704056,0.112598971,-0.583877635,,,,,,,,
,,1781121314.899121523,0.910017373,0.111253132,-0.561195356,,,,,,,,
,,1781121314.915010452,0.872828516,0.105455835,-0.531974853,,,,,,,,
,,1781121314.931640863,0.895443122,0.108514405,-0.559582251,,,,,,,,
